symbol	file	line	kind	language
run	.config/autostart/autorun.sh	3		
settings	.config/awesome/bar.lua	66		
settings	.config/awesome/bar.lua	76		
settings	.config/awesome/bar.lua	86		
animate_widget_size	.config/awesome/bar.lua	135		
timer	.config/awesome/bar.lua	140		
updateVolumeText	.config/awesome/bar.lua	175		
callback	.config/awesome/bar.lua	195		
updateVolumeWidget	.config/awesome/bar.lua	212		
shrink_timer	.config/awesome/bar.lua	235		
formatDateTime	.config/awesome/bar.lua	254		
updateDateTime	.config/awesome/bar.lua	274		
updateFocusedClass	.config/awesome/bar.lua	306		
makeFrameWidget	.config/awesome/clientBorder.lua	9		
visibleFor	.config/awesome/clientBorder.lua	39		
place	.config/awesome/clientBorder.lua	43		
refresh	.config/awesome/clientBorder.lua	81		
onTagChange	.config/awesome/clientBorder.lua	125		
makeRow	.config/awesome/cycleSelector.lua	25		
buildWidget	.config/awesome/cycleSelector.lua	46		
reposition	.config/awesome/cycleSelector.lua	58		
myFuncs	.config/awesome/devices/macropad.lua	7		
"	.config/awesome/devices/macropad.lua	55		
"	.config/awesome/devices/macropad.lua	59		
myFuncs	.config/awesome/devices/normalKeys.lua	6		
myFuncs	.config/awesome/devices/scimitar.lua	9		
sk	.config/awesome/devices/scimitar.lua	23		
myFuncs	.config/awesome/devices/tartarus.lua	10		
tk	.config/awesome/devices/tartarus.lua	25		
keypressed_callback	.config/awesome/devices/tartarus.lua	320		
keyreleased_callback	.config/awesome/devices/tartarus.lua	325		
callback	.config/awesome/devices/tartarus.lua	331		
onNewWindow	.config/awesome/functions.lua	125		
commsEntryByClass	.config/awesome/functions.lua	227		
postClose	.config/awesome/functions.lua	319		
isDropdownClient	.config/awesome/functions.lua	329		
manage_callback	.config/awesome/functions.lua	381		
matches	.config/awesome/functions.lua	403		
hideOtherDropdowns	.config/awesome/functions.lua	482		
positionDropdown	.config/awesome/functions.lua	500		
onManage	.config/awesome/functions.lua	538		
hexToRgb	.config/awesome/glowBorder.lua	11		
lerpColor	.config/awesome/glowBorder.lua	16		
callback	.config/awesome/glowBorder.lua	59		
Please, read me!	.config/awesome/lain/ISSUE_TEMPLATE.md	1		
If you have an issue	.config/awesome/lain/ISSUE_TEMPLATE.md	5		
How to provide X error log	.config/awesome/lain/ISSUE_TEMPLATE.md	16		
Lain	.config/awesome/lain/README.rst	1		
stdout	.config/awesome/lain/helpers.lua	127		
do_cascade	.config/awesome/lain/layout/cascade.lua	29		
arrange	.config/awesome/lain/layout/centerwork.lua	24		
mouse_resize_handler	.config/awesome/lain/layout/centerwork.lua	132		
